mov_onset,valid_movement
NaN,no
-0.145833333333333,yes
NaN,no
NaN,no
NaN,no
0.416666666666667,yes
0.191666666666667,yes
-0.120833333333333,yes
-0.179166666666667,yes
0.216666666666667,yes
0.133333333333333,yes
0.320833333333333,yes
0.295833333333333,yes
0.204166666666667,yes
0.470833333333333,yes
0.283333333333333,yes
0.333333333333333,yes
0.158333333333333,yes
0.545833333333333,yes
0.208333333333333,yes
NaN,no
0.00416666666666665,yes
0.3,yes
0.170833333333333,yes
0.616666666666667,yes
0.2125,yes
NaN,no
0.00833333333333333,yes
0.370833333333333,yes
0.279166666666667,yes
NaN,no
0.7125,yes
0.395833333333333,yes
-0.0458333333333333,no
0.475,yes
0.270833333333333,yes
NaN,no
0.233333333333333,yes
0.2375,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.475,yes
0.158333333333333,yes
0.5,yes
1.02916666666667,yes
-0.108333333333333,yes
NaN,no
0.25,yes
0.5625,yes
-0.0958333333333333,yes
0.283333333333333,yes
-0.075,yes
-0.0833333333333333,yes
0.208333333333333,yes
0.375,yes
NaN,no
NaN,no
NaN,no
-0.0291666666666667,yes
0.558333333333333,yes
NaN,no
-0.0625,yes
0.366666666666667,yes
0.291666666666667,yes
0.15,yes
0.2,yes
NaN,no
-0.1,yes
0.3125,yes
NaN,no
NaN,no
NaN,no
-0.120833333333333,yes
NaN,no
0.15,yes
NaN,no
0.0375,yes
-0.05,yes
-0.0666666666666667,yes
0.216666666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,no
0.0458333333333333,yes
0.2,yes
-0.0875,yes
NaN,no
-0.0458333333333333,yes
NaN,no
-0.0625,yes
0.158333333333333,yes
NaN,no
-0.0416666666666667,yes
0.0375,yes
0.270833333333333,yes
-0.183333333333333,yes
-0.0875,yes
0.354166666666667,yes
NaN,no
0.179166666666667,yes
0.179166666666667,yes
NaN,no
1.13333333333333,yes
0.779166666666667,yes
0.1125,yes
-0.145833333333333,yes
0.4375,yes
0.1375,yes
0.666666666666667,yes
0.116666666666667,yes
-0.0458333333333333,yes
0.0625,yes
0.208333333333333,yes
NaN,no
0.633333333333333,yes
0.483333333333333,yes
0.329166666666667,yes
-0.104166666666667,yes
NaN,no
0.454166666666667,yes
0.354166666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
