mov_onset,valid_movement
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.0208333333333333,yes
1.75833333333333,yes
0.766666666666667,yes
1.00833333333333,yes
1.55833333333333,yes
0.654166666666667,yes
0.970833333333333,yes
0.491666666666667,yes
0.791666666666667,yes
0.7,yes
0.629166666666667,yes
0.541666666666667,yes
1.14166666666667,yes
0.616666666666667,yes
-0.179166666666667,no
0.683333333333333,yes
1.25,yes
1.91666666666667,yes
0.4875,yes
0.541666666666667,yes
0.8375,yes
0.504166666666667,yes
1.14166666666667,yes
NaN,no
0.641666666666667,yes
1.22916666666667,yes
0.45,yes
0.370833333333333,yes
0.554166666666667,yes
0.904166666666667,yes
0.604166666666667,yes
0.829166666666667,yes
1.00833333333333,yes
0.870833333333333,yes
0.516666666666667,yes
0.595833333333333,yes
1.45,yes
0.5875,yes
0.804166666666667,yes
3.00833333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.295833333333333,yes
0.654166666666667,yes
0.725,yes
0.570833333333333,yes
0.833333333333333,yes
0.633333333333333,yes
0.575,yes
0.483333333333333,yes
0.333333333333333,yes
0.541666666666667,yes
0.458333333333333,yes
0.491666666666667,yes
0.495833333333333,yes
0.3625,yes
0.408333333333333,yes
0.416666666666667,yes
0.658333333333333,yes
0.541666666666667,yes
0.5875,yes
0.508333333333333,yes
0.445833333333333,yes
NaN,no
0.9875,yes
0.445833333333333,yes
0.704166666666667,yes
0.633333333333333,no
NaN,no
0.391666666666667,yes
0.516666666666667,yes
0.554166666666667,yes
0.8875,yes
0.645833333333333,yes
0.625,yes
0.5875,yes
2.25416666666667,yes
0.691666666666667,yes
0.966666666666667,yes
0.658333333333333,yes
0.333333333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.575,yes
0.466666666666667,yes
0.508333333333333,yes
0.925,yes
0.5375,yes
0.604166666666667,yes
0.408333333333333,yes
NaN,no
NaN,no
0.445833333333333,yes
0.729166666666667,yes
NaN,no
1.35416666666667,yes
0.520833333333333,yes
0.5,yes
0.829166666666667,yes
0.370833333333333,yes
-0.0875,yes
0.533333333333333,yes
1.10833333333333,yes
0.1625,yes
0.4625,yes
0.6875,yes
0.5875,yes
0.445833333333333,yes
0.875,yes
0.483333333333333,yes
0.633333333333333,yes
0.608333333333333,yes
0.354166666666667,yes
1.1,yes
0.904166666666667,yes
1.15416666666667,yes
NaN,no
0.45,yes
0.266666666666667,yes
1.03333333333333,yes
0.691666666666667,yes
0.345833333333333,yes
