mov_onset,valid_movement
0.7125,yes
0.195833333333333,yes
0.275,yes
NaN,no
0.0458333333333333,yes
1.89166666666667,yes
0.229166666666667,yes
0.7,yes
0.5,yes
0.920833333333333,yes
0.554166666666667,yes
0.866666666666667,yes
0.229166666666667,yes
0.3375,yes
1.04166666666667,yes
1.17083333333333,yes
0.645833333333333,yes
0.416666666666667,yes
0.170833333333333,yes
0.15,yes
0.595833333333333,yes
0.854166666666667,yes
0.595833333333333,yes
0.7,yes
0.116666666666667,yes
0.254166666666667,yes
1.47916666666667,yes
-0.0666666666666667,yes
0.504166666666667,yes
1.68333333333333,yes
0.241666666666667,yes
0.458333333333333,yes
2.04166666666667,yes
0.216666666666667,yes
0.329166666666667,yes
0.3,yes
NaN,no
0.229166666666667,yes
-0.108333333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.9625,yes
0.7,yes
-0.0333333333333334,yes
0.954166666666667,yes
0.383333333333333,yes
0.125,yes
0.645833333333333,yes
0.875,yes
1.93333333333333,yes
0.316666666666667,no
0.00416666666666665,yes
0.1,yes
0.975,yes
-0.1,yes
0.845833333333333,yes
0.266666666666667,yes
0.375,yes
0.0916666666666667,yes
NaN,no
0.379166666666667,yes
0.7625,yes
0.154166666666667,yes
NaN,no
0.9625,yes
0.454166666666667,yes
0.279166666666667,yes
0.0625,yes
0.129166666666667,yes
0.391666666666667,yes
0.916666666666667,yes
0.208333333333333,yes
0.725,yes
-0.00833333333333333,yes
-0.1,yes
0.483333333333333,yes
0.4875,yes
0.55,yes
1.4125,yes
0.6375,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.170833333333333,yes
1.575,yes
0.658333333333333,yes
0.458333333333333,yes
1.04166666666667,yes
0.0291666666666666,yes
0.3375,yes
0.833333333333333,yes
1.575,yes
0.616666666666667,yes
0.604166666666667,yes
0.179166666666667,yes
-0.0333333333333334,yes
0.2125,yes
1.03333333333333,yes
0.316666666666667,yes
NaN,no
-0.0333333333333334,yes
NaN,no
-0.075,yes
0.3,yes
-0.0708333333333333,yes
-0.075,yes
0.125,yes
NaN,no
0.4125,yes
0.679166666666667,yes
NaN,no
-0.0958333333333333,yes
1.2875,no
0.0833333333333333,yes
0.195833333333333,yes
0.216666666666667,yes
-0.00416666666666668,yes
1.29583333333333,yes
0.241666666666667,yes
0.125,yes
NaN,no
1.3,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
