mov_onset,valid_movement
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
2.04166666666667,yes
3.04166666666667,yes
1.2625,yes
3.20416666666667,yes
1.07083333333333,yes
1.77916666666667,yes
1.1375,yes
1.91666666666667,yes
1.2,yes
1.67916666666667,yes
2.9625,no
1.575,yes
0.891666666666667,yes
NaN,no
1.44166666666667,yes
1.2,yes
2.0375,yes
1.6875,yes
1.6125,yes
1.60833333333333,yes
1.30416666666667,yes
1.075,yes
NaN,no
1.16666666666667,yes
0.858333333333333,yes
1.175,yes
1.4,yes
1.65416666666667,yes
1.73333333333333,yes
1.72916666666667,yes
2.15833333333333,yes
1.97083333333333,yes
0.9875,yes
NaN,no
2.225,yes
1.23333333333333,yes
1.45416666666667,yes
3.00416666666667,yes
1.65,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.3375,yes
1.27083333333333,yes
1.39166666666667,yes
NaN,no
2.95,yes
2.35833333333333,yes
1.37083333333333,yes
1.34583333333333,yes
2.02916666666667,yes
1.2375,yes
1.02083333333333,yes
2.34583333333333,yes
1.9625,yes
1.61666666666667,yes
NaN,no
1.73333333333333,yes
1.9125,yes
1.00416666666667,yes
0.758333333333333,yes
1.49583333333333,yes
0.725,yes
1.52083333333333,yes
1.35416666666667,yes
1.8375,yes
1.775,yes
1.6625,yes
0.625,yes
1,yes
2.79166666666667,yes
1.25,yes
1.4875,yes
1.325,yes
1.2375,yes
2.00416666666667,yes
1.35833333333333,yes
1.7625,yes
1.63333333333333,yes
0.95,yes
1.53333333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,no
2.25416666666667,yes
1.98333333333333,yes
1.46666666666667,yes
0.791666666666667,yes
1.37916666666667,yes
1.5125,yes
1.62916666666667,yes
2.5125,yes
1.2375,yes
0.925,yes
0.816666666666667,yes
1.65,yes
0.791666666666667,yes
3.52916666666667,yes
2.39583333333333,yes
1.05416666666667,yes
1.91666666666667,yes
1.7875,yes
1.825,yes
0.716666666666667,yes
1.07916666666667,yes
0.3875,yes
0.895833333333333,yes
2.08333333333333,yes
3.825,yes
1.04166666666667,yes
0.929166666666667,yes
1.30416666666667,yes
0.895833333333333,yes
0.941666666666667,yes
1.09166666666667,yes
2.425,yes
1.2625,yes
1.96666666666667,yes
1.3875,yes
1.55416666666667,yes
1.0375,yes
1.06666666666667,yes
