mov_onset,valid_movement
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.77083333333333,yes
1.5125,yes
1.44166666666667,yes
NaN,no
1.1875,yes
2.87916666666667,yes
1.97083333333333,yes
2.21666666666667,yes
2.5125,yes
1.6125,yes
NaN,no
1.43333333333333,yes
NaN,no
2.025,yes
1.025,yes
1.34166666666667,yes
1.4375,yes
1.45833333333333,yes
1.3625,yes
1.20833333333333,yes
1.45833333333333,yes
1.28333333333333,yes
1.34166666666667,yes
1.82083333333333,yes
1.79166666666667,yes
1.94583333333333,yes
NaN,no
1.57916666666667,yes
1.15833333333333,yes
NaN,no
NaN,no
1.41666666666667,yes
2.275,yes
NaN,no
3.00833333333333,yes
2.58333333333333,yes
1.42916666666667,yes
1.67916666666667,yes
1.49166666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.47916666666667,yes
NaN,no
1.55833333333333,yes
1.21666666666667,yes
1.03333333333333,yes
1.52916666666667,yes
1.32083333333333,yes
1.3875,yes
1.22916666666667,yes
1.8,yes
2.11666666666667,yes
1.74166666666667,yes
1.34583333333333,yes
1.62083333333333,yes
NaN,yes
1.65,yes
2.00416666666667,yes
2.78333333333333,no
1.57916666666667,yes
NaN,no
1.78333333333333,yes
1.54166666666667,yes
1.425,yes
NaN,no
1.43333333333333,yes
1.46666666666667,no
1.76666666666667,yes
1.4875,yes
1.94583333333333,yes
1.6625,yes
1.74166666666667,yes
1.84166666666667,yes
2.29166666666667,yes
1.525,yes
1.41666666666667,yes
2.4375,yes
1.62083333333333,yes
1.3,yes
1.5,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.725,yes
1.3625,yes
1.55,yes
1.37916666666667,yes
1.04583333333333,yes
1.3,yes
1.77916666666667,yes
2.0875,yes
0.891666666666667,yes
1.53333333333333,yes
1.4875,yes
1.34583333333333,yes
1.17916666666667,yes
1.525,yes
1.80416666666667,yes
1.26666666666667,yes
1.68333333333333,yes
1.92916666666667,yes
1.975,yes
1.525,yes
1.6,yes
1.1,yes
2.0375,yes
1.29166666666667,yes
1.32083333333333,yes
1.12083333333333,yes
1.50416666666667,yes
1.7125,yes
NaN,no
1.40833333333333,yes
1.4125,yes
2.125,yes
2.01666666666667,yes
0.408333333333333,no
1.62083333333333,yes
1.28333333333333,yes
1.54166666666667,yes
1.52916666666667,yes
1.58333333333333,yes
