mov_onset,valid_movement
NaN,no
1.97083333333333,yes
2.02083333333333,yes
1.25,yes
3.20416666666667,yes
NaN,no
0.8375,yes
1.25,yes
0.804166666666667,yes
NaN,no
1.4125,yes
1.80416666666667,yes
1.89166666666667,yes
1.49166666666667,yes
1.55416666666667,yes
1.24166666666667,yes
1.44166666666667,yes
1.2375,yes
2.07083333333333,yes
2.24583333333333,yes
1.45416666666667,yes
1.5375,yes
2.43333333333333,yes
0.270833333333333,yes
1.6625,yes
1.2375,yes
1.3375,yes
1.14583333333333,yes
1.61666666666667,yes
1.8,yes
1.36666666666667,yes
1.3375,yes
1.55,yes
0.779166666666667,yes
1.68333333333333,yes
1.20416666666667,yes
2.0125,yes
2.09166666666667,yes
0.7125,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,no
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.225,yes
2.68333333333333,yes
1.37083333333333,yes
1.4125,yes
1.28333333333333,yes
1.63333333333333,yes
NaN,yes
2.2625,yes
2.12916666666667,yes
1.28333333333333,yes
3.23333333333333,no
1.59166666666667,yes
1.93333333333333,yes
NaN,no
1.75,yes
1.59583333333333,yes
1.7375,yes
1.325,yes
2.69583333333333,yes
1.55,yes
1.35,yes
1.92916666666667,yes
NaN,no
1.75416666666667,yes
0.816666666666667,yes
1.33333333333333,yes
1.9625,yes
2.13333333333333,yes
1.5625,yes
1.7875,no
NaN,no
2.97083333333333,no
2.0625,yes
1.55,yes
2.25416666666667,yes
1.50416666666667,yes
1.63333333333333,no
1.7875,yes
1.47916666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.19583333333333,yes
NaN,no
1.3875,no
1.9,yes
2.3375,yes
2.19166666666667,yes
1.77916666666667,yes
1.84583333333333,yes
2.34583333333333,no
2.51666666666667,yes
NaN,no
1.62083333333333,yes
2.24583333333333,yes
1.55,yes
1.62083333333333,yes
1.05416666666667,yes
1.44583333333333,yes
1.15,yes
-0.0375,yes
2.37916666666667,yes
2.4375,yes
2.32083333333333,yes
0.995833333333333,yes
1.275,yes
2.57083333333333,yes
1.67916666666667,yes
1.31666666666667,yes
1.32916666666667,yes
2.29166666666667,yes
0.7375,yes
1.89166666666667,yes
NaN,no
1.9,yes
0.775,no
1.62083333333333,no
1.50833333333333,yes
1.24166666666667,yes
NaN,no
1.9875,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
