mov_onset,valid_movement
3.34583333333333,no
NaN,no
NaN,no
0.554166666666667,yes
0.829166666666667,yes
0.65,yes
-0.175,no
0.679166666666667,yes
0.658333333333333,yes
0.841666666666667,yes
1.00833333333333,yes
0.55,yes
0.395833333333333,yes
0.4,yes
0.6625,yes
0.554166666666667,yes
0.725,yes
0.8875,yes
1.18333333333333,yes
0.666666666666667,yes
1.66666666666667,yes
0.475,yes
0.5125,yes
1.26666666666667,yes
0.725,yes
0.541666666666667,yes
0.508333333333333,yes
0.55,yes
0.9625,yes
0.85,yes
0.833333333333333,yes
NaN,no
NaN,no
0.729166666666667,yes
0.879166666666667,yes
0.829166666666667,yes
0.741666666666667,yes
0.516666666666667,yes
0.745833333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.820833333333333,yes
0.791666666666667,yes
0.295833333333333,yes
0.395833333333333,yes
0.4,yes
0.491666666666667,yes
0.604166666666667,yes
0.766666666666667,yes
0.4875,yes
0.520833333333333,yes
0.729166666666667,yes
0.433333333333333,yes
0.3625,yes
0.308333333333333,yes
0.608333333333333,yes
0.4,yes
0.433333333333333,yes
0.466666666666667,yes
0.941666666666667,yes
0.6625,yes
0.620833333333333,yes
0.3875,yes
0.570833333333333,yes
0.466666666666667,yes
0.904166666666667,yes
0.570833333333333,yes
0.7625,yes
0.916666666666667,yes
0.441666666666667,yes
0.795833333333333,yes
0.7625,yes
0.458333333333333,yes
0.416666666666667,yes
0.454166666666667,yes
1.25416666666667,yes
0.879166666666667,yes
0.604166666666667,yes
0.658333333333333,yes
0.520833333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.0375,yes
0.354166666666667,yes
0.454166666666667,yes
0.533333333333333,yes
0.454166666666667,yes
0.4625,yes
0.616666666666667,yes
0.408333333333333,yes
0.558333333333333,yes
0.5875,yes
0.870833333333333,yes
0.579166666666667,yes
0.5,yes
0.383333333333333,yes
0.870833333333333,yes
0.520833333333333,yes
0.7125,yes
0.275,yes
0.8,yes
0.504166666666667,yes
0.425,yes
1.07916666666667,yes
0.3875,yes
0.4375,yes
0.0666666666666667,yes
0.5625,yes
0.7375,yes
0.5625,yes
0.508333333333333,yes
0.775,yes
0.575,yes
0.941666666666667,yes
0.220833333333333,yes
0.35,yes
0.508333333333333,yes
0.5125,yes
0.716666666666667,yes
1.60833333333333,yes
0.520833333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
