mov_onset,valid_movement
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.7125,yes
1.16666666666667,yes
1.94166666666667,yes
1.19583333333333,yes
0.166666666666667,yes
2.175,yes
1.59166666666667,yes
1.83333333333333,yes
1.55833333333333,yes
1.60833333333333,yes
2.0875,yes
0.983333333333333,yes
0.645833333333333,yes
2.2375,yes
2.35416666666667,yes
1.63333333333333,yes
0.9875,yes
1.60416666666667,yes
0.541666666666667,yes
0.679166666666667,yes
2.20833333333333,yes
1.95833333333333,yes
1.32916666666667,yes
0.958333333333333,yes
0.483333333333333,yes
0.183333333333333,yes
NaN,no
0.95,yes
1.60833333333333,yes
0.654166666666667,yes
0.991666666666667,yes
0.6,yes
2.975,yes
0.995833333333333,yes
0.6,yes
0.679166666666667,yes
0.804166666666667,yes
1.45416666666667,yes
0.945833333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.775,yes
NaN,no
0.495833333333333,yes
1.05833333333333,yes
1.10416666666667,yes
0.825,yes
0.691666666666667,yes
0.870833333333333,yes
0.854166666666667,yes
0.720833333333333,yes
1.16666666666667,yes
0.683333333333333,yes
0.929166666666667,yes
0.9125,yes
0.854166666666667,yes
0.575,yes
1.35,yes
0.875,yes
0.645833333333333,yes
0.758333333333333,yes
0.604166666666667,yes
0.245833333333333,yes
1.0875,yes
1.97083333333333,yes
1.29583333333333,yes
1.075,yes
0.716666666666667,yes
1.05,yes
1.60833333333333,yes
1.50416666666667,yes
1.50833333333333,yes
1.34583333333333,yes
1.575,yes
0.829166666666667,yes
3.33333333333333,yes
0.608333333333333,yes
-0.0625,yes
1.60416666666667,yes
0.841666666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.6375,yes
NaN,no
1.26666666666667,yes
1.1125,yes
1.46666666666667,yes
1.20833333333333,yes
1.23333333333333,yes
2.10833333333333,yes
1.04583333333333,yes
1.7625,yes
1.3875,yes
1.09166666666667,yes
0.683333333333333,yes
0.8625,yes
0.8375,yes
1.3875,yes
1.02916666666667,yes
0.679166666666667,yes
2.02916666666667,yes
1.16666666666667,yes
NaN,no
0.7,yes
0.8625,yes
0.875,yes
1.39583333333333,yes
1.15,yes
1.52083333333333,yes
1.3625,yes
1.05,yes
2.10833333333333,yes
1.97083333333333,yes
0.6625,yes
1.1,yes
1.4875,yes
1.87083333333333,yes
0.991666666666667,yes
0.770833333333333,yes
1.9875,yes
1.125,yes
