mov_onset,valid_movement
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
-0.0375,yes
1.52083333333333,yes
1.27916666666667,yes
1.26666666666667,yes
1.98333333333333,yes
1.05,yes
1.35,yes
1.11666666666667,yes
NaN,no
1.11666666666667,yes
0.945833333333333,yes
0.325,yes
1.67916666666667,yes
1.125,yes
0.604166666666667,yes
0.645833333333333,yes
0.5,yes
0.716666666666667,yes
0.941666666666667,yes
0.870833333333333,yes
0.754166666666667,yes
0.895833333333333,yes
0.504166666666667,yes
1.0875,yes
1.37083333333333,yes
1.39166666666667,yes
1.65,yes
0.804166666666667,yes
1.01666666666667,yes
0.7625,yes
1.21666666666667,yes
-0.154166666666667,yes
1.53333333333333,yes
0.670833333333333,yes
0.475,yes
NaN,no
1.05,yes
0.591666666666667,yes
1.05416666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
2.17916666666667,yes
0.7875,yes
0.366666666666667,yes
2.11666666666667,yes
1.4375,yes
1.78333333333333,yes
1.05,yes
1.35833333333333,yes
1.75416666666667,yes
0.520833333333333,yes
1.1625,yes
0.591666666666667,yes
0.9125,yes
1.975,yes
1.225,yes
1.4125,yes
1.49583333333333,yes
0.8,yes
1.50416666666667,yes
0.4625,yes
1.33333333333333,yes
1.34583333333333,yes
1.51666666666667,yes
0.758333333333333,yes
1.37083333333333,yes
1.68333333333333,yes
1.5875,yes
NaN,no
1.12916666666667,yes
1.45416666666667,yes
0.95,yes
1.85833333333333,yes
1.4875,yes
0.470833333333333,yes
1.47083333333333,yes
0.491666666666667,yes
1.34166666666667,yes
1.58333333333333,yes
0.641666666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.38333333333333,yes
2.54166666666667,yes
1.96666666666667,yes
1.1875,yes
1.4,yes
1.50833333333333,yes
1.51666666666667,yes
1.95833333333333,yes
1.1875,yes
0.908333333333333,yes
0.3125,yes
0.458333333333333,yes
1.75,yes
1.35416666666667,yes
0.616666666666667,yes
0.554166666666667,yes
1.09166666666667,yes
2.19583333333333,yes
1.00833333333333,yes
1.50833333333333,yes
1.15416666666667,yes
0.579166666666667,yes
0.45,yes
0.529166666666667,yes
1.31666666666667,yes
0.920833333333333,yes
1.85833333333333,yes
1.19166666666667,yes
1.20416666666667,yes
1.0875,yes
0.766666666666667,yes
1.20833333333333,yes
0.708333333333333,yes
0.779166666666667,yes
1.0625,yes
2.05416666666667,yes
0.908333333333333,yes
0.8,yes
1.04166666666667,yes
