mov_onset,valid_movement
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
-0.0333333333333334,yes
1.35,yes
1.03333333333333,yes
1.27083333333333,yes
0.75,yes
0.625,yes
1.28333333333333,yes
0.841666666666667,yes
1.8625,yes
1.20416666666667,yes
1.43333333333333,yes
1.60416666666667,yes
1.73333333333333,yes
1.36666666666667,yes
1.49583333333333,yes
1.67916666666667,yes
1.11666666666667,yes
1.50833333333333,yes
1.64583333333333,yes
0.845833333333333,yes
1.91666666666667,yes
1.20833333333333,yes
1.2375,yes
1.2375,yes
1.4875,yes
1.35416666666667,yes
2.15833333333333,yes
1.45833333333333,yes
2.25416666666667,yes
1.02083333333333,yes
0.7625,yes
1,yes
1.05,yes
2.20833333333333,yes
1.99166666666667,yes
1.65,yes
1.35833333333333,yes
2.4625,yes
1.89166666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.32083333333333,yes
2.32083333333333,yes
1.2125,yes
1.57916666666667,yes
2.21666666666667,yes
1.43333333333333,yes
1.49583333333333,yes
2.0125,yes
1.24583333333333,yes
1.45416666666667,yes
1.575,yes
2.05833333333333,yes
1.46666666666667,yes
1.1125,yes
1.20833333333333,yes
1.62916666666667,yes
3.50833333333333,yes
2.91666666666667,yes
1.69583333333333,yes
1.53333333333333,yes
1.30416666666667,yes
1.3625,yes
1.4,yes
1.02916666666667,yes
0.791666666666667,yes
1.62916666666667,yes
1.59166666666667,yes
1.62083333333333,yes
1.64583333333333,yes
1.59166666666667,yes
1.26666666666667,yes
2.81666666666667,yes
3.16666666666667,yes
1.56666666666667,yes
1.50416666666667,yes
0.845833333333333,yes
1.2875,yes
1.57916666666667,yes
1.29166666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
-0.129166666666667,yes
1.46666666666667,yes
1.90416666666667,yes
1.125,yes
1.29583333333333,yes
3.76666666666667,yes
0.979166666666667,yes
2.23333333333333,yes
2.8625,yes
1.16666666666667,yes
1.92083333333333,yes
1.4625,yes
1.14166666666667,yes
1.07916666666667,yes
0.425,yes
1.49583333333333,yes
1.29583333333333,yes
1.45416666666667,yes
1.82916666666667,yes
1.6,yes
1.84166666666667,yes
2.15416666666667,yes
1.28333333333333,yes
1.24583333333333,yes
1.55833333333333,yes
1.52083333333333,yes
1.93333333333333,yes
1.28333333333333,yes
1.57083333333333,yes
1.4625,yes
2.84166666666667,yes
2.12916666666667,yes
1.45,yes
1.11666666666667,yes
1.1,yes
0.725,yes
4.05,yes
1.84583333333333,yes
1.49166666666667,yes
