mov_onset,valid_movement
0.758333333333333,yes
NaN,no
-0.175,yes
0.4125,yes
NaN,no
0.55,yes
-0.00416666666666668,no
0.9375,yes
NaN,no
-0.075,yes
0.0791666666666667,no
-0.170833333333333,no
0.45,yes
0.3125,yes
0.375,yes
0.591666666666667,yes
0.479166666666667,yes
0.608333333333333,yes
0.5625,yes
0.4875,yes
0.420833333333333,yes
0.475,yes
0.329166666666667,yes
0.404166666666667,yes
0.416666666666667,yes
0.620833333333333,yes
0.3375,yes
0.5125,yes
0.3875,yes
0.404166666666667,yes
0.366666666666667,yes
0.408333333333333,yes
0.379166666666667,yes
0.35,yes
0.404166666666667,yes
0.408333333333333,yes
0.358333333333333,yes
0.2625,yes
0.316666666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
-0.0958333333333333,no
0.7125,yes
0.5625,yes
0.3625,yes
0.345833333333333,yes
-0.0333333333333334,no
0.554166666666667,yes
0.75,yes
0.329166666666667,yes
0.370833333333333,yes
0.733333333333333,yes
0.2625,yes
0.3,yes
0.4375,yes
0.420833333333333,yes
0.308333333333333,yes
0.325,yes
0.333333333333333,yes
0.4625,yes
0.416666666666667,yes
0.316666666666667,yes
0.275,yes
0.433333333333333,yes
0.3,yes
0.433333333333333,yes
0.3625,yes
0.4125,yes
0.554166666666667,yes
0.341666666666667,yes
0.370833333333333,yes
0.5,yes
0.4375,yes
0.333333333333333,yes
0.4875,yes
0.758333333333333,yes
NaN,no
0.4125,yes
0.341666666666667,yes
0.404166666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.5375,yes
0.329166666666667,yes
0.595833333333333,yes
0.35,yes
0.558333333333333,yes
0.275,yes
NaN,no
0.375,yes
0.4875,yes
-0.0625,no
0.383333333333333,yes
0.320833333333333,yes
0.416666666666667,yes
0.295833333333333,yes
0.333333333333333,yes
0.591666666666667,yes
0.3625,yes
0.583333333333333,yes
0.295833333333333,yes
0.275,yes
0.4,yes
0.691666666666667,yes
0.3375,yes
0.558333333333333,yes
0.2625,yes
0.366666666666667,yes
0.45,yes
0.504166666666667,yes
0.2625,yes
0.441666666666667,yes
0.383333333333333,yes
0.454166666666667,yes
0.320833333333333,yes
0.204166666666667,yes
0.520833333333333,yes
0.191666666666667,yes
0.15,yes
0.354166666666667,yes
0.420833333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
