mov_onset,valid_movement
0.6875,yes
NaN,no
NaN,no
NaN,no
0.929166666666667,yes
0.55,yes
0.404166666666667,yes
0.895833333333333,yes
0.641666666666667,yes
0.7125,yes
0.35,yes
0.7875,yes
0.470833333333333,yes
0.420833333333333,yes
0.754166666666667,yes
1.00833333333333,yes
0.579166666666667,yes
0.704166666666667,yes
0.3875,yes
0.329166666666667,yes
0.3625,yes
0.520833333333333,yes
0.616666666666667,yes
0.645833333333333,yes
0.170833333333333,yes
0.429166666666667,yes
0.625,yes
0.329166666666667,yes
0.241666666666667,yes
0.283333333333333,yes
0.854166666666667,yes
0.358333333333333,yes
0.770833333333333,yes
0.445833333333333,yes
0.504166666666667,yes
0.229166666666667,yes
NaN,no
0.275,yes
0.429166666666667,yes
NaN,no
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,no
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.370833333333333,yes
0.85,yes
0.525,yes
0.458333333333333,yes
0.483333333333333,yes
0.4375,yes
0.6625,yes
0.304166666666667,yes
0.875,yes
0.520833333333333,yes
0.308333333333333,yes
0.216666666666667,yes
0.758333333333333,yes
0.704166666666667,yes
0.4,yes
0.775,yes
0.416666666666667,yes
0.3125,yes
0.329166666666667,yes
0.558333333333333,yes
0.625,yes
0.429166666666667,yes
0.716666666666667,yes
0.2375,yes
0.570833333333333,yes
0.154166666666667,yes
0.2375,yes
0.345833333333333,yes
0.3625,yes
0.45,yes
0.275,yes
2,yes
1.03333333333333,yes
-0.0916666666666667,yes
0.2875,yes
0.483333333333333,yes
0.354166666666667,yes
0.7625,yes
0.204166666666667,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,no
NaN,no
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.820833333333333,yes
0.333333333333333,no
0.454166666666667,no
0.3375,yes
0.520833333333333,yes
0.395833333333333,yes
0.441666666666667,yes
0.454166666666667,yes
0.3125,yes
0.466666666666667,yes
0.8375,yes
0.345833333333333,yes
0.404166666666667,yes
0.804166666666667,yes
0.483333333333333,yes
0.279166666666667,yes
0.320833333333333,yes
0.445833333333333,yes
0.520833333333333,yes
0.308333333333333,yes
0.3875,yes
0.416666666666667,yes
0.595833333333333,yes
0.195833333333333,yes
0.0375,yes
0.375,yes
0.225,yes
0.191666666666667,yes
0.395833333333333,yes
0.483333333333333,yes
0.4625,yes
0.2875,yes
0.3625,yes
0.404166666666667,yes
0.354166666666667,yes
0.166666666666667,yes
0,yes
0.25,yes
0.175,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,no
