mov_onset,valid_movement
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
-0.154166666666667,yes
3.48333333333333,yes
NaN,no
1.0125,yes
-0.0333333333333334,yes
1.0625,yes
0.766666666666667,yes
0.554166666666667,yes
0.520833333333333,yes
0.220833333333333,yes
0.729166666666667,yes
1.4125,yes
1.25,yes
0.716666666666667,yes
0.395833333333333,yes
0.433333333333333,yes
0.9875,yes
1.1,yes
0.8875,yes
1.1375,yes
0.816666666666667,yes
1.5875,yes
0.520833333333333,yes
1.41666666666667,yes
1.37916666666667,yes
0.216666666666667,yes
0.8375,yes
1.1875,yes
2.07916666666667,yes
-0.00416666666666668,yes
1.15833333333333,yes
0.545833333333333,yes
0.366666666666667,yes
0.845833333333333,yes
1.65833333333333,yes
1.82083333333333,yes
1.5,yes
1.3625,yes
0.970833333333333,yes
-0.0291666666666667,no
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.525,yes
1.07916666666667,yes
0.891666666666667,yes
1.42083333333333,yes
0.845833333333333,yes
0.8875,yes
1.4125,yes
1.94166666666667,yes
0.683333333333333,yes
1.42083333333333,yes
1.2625,yes
2.2875,yes
NaN,no
1.1125,yes
0.675,yes
0.4875,yes
0.483333333333333,yes
0.875,yes
0.858333333333333,yes
1.3,yes
0.716666666666667,yes
0.925,yes
0.675,yes
0.683333333333333,yes
1.84166666666667,yes
1.75833333333333,yes
2.92083333333333,yes
0.6375,yes
1.45416666666667,yes
1.24583333333333,yes
1.37916666666667,no
0.5375,yes
1.02916666666667,yes
0.6375,yes
2.1375,yes
0.870833333333333,yes
2.1625,yes
2.1375,yes
1.19583333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1,yes
1.06666666666667,yes
0.875,yes
0.633333333333333,yes
2.0625,yes
1.75,yes
1.0125,yes
0.683333333333333,yes
1.225,yes
0.791666666666667,yes
1.65,yes
1.24166666666667,yes
0.754166666666667,yes
1.84583333333333,yes
0.595833333333333,yes
1.17916666666667,yes
1.68333333333333,yes
0.933333333333333,yes
0.8625,yes
2.29166666666667,yes
1.42083333333333,yes
0.716666666666667,yes
0.554166666666667,yes
0.283333333333333,yes
2.1375,yes
1.48333333333333,yes
NaN,no
1.8875,yes
1.3625,yes
2.03333333333333,yes
0.85,yes
1.62916666666667,yes
1.56666666666667,yes
1.5875,yes
0.925,yes
0.725,yes
1.26666666666667,yes
0.8625,yes
2.02083333333333,yes
