mov_onset,valid_movement
2.14583333333333,yes
1.79166666666667,yes
1.9125,yes
2.11666666666667,yes
1.78333333333333,yes
1.83333333333333,yes
1.84583333333333,yes
2.2375,yes
2.09583333333333,yes
2.15833333333333,yes
2.10833333333333,yes
1.9625,yes
1.80833333333333,yes
1.4375,yes
3.08333333333333,yes
2.29166666666667,yes
3.02916666666667,yes
1.4125,yes
2.69583333333333,yes
2.00416666666667,yes
2.17083333333333,yes
1.56666666666667,yes
2.97916666666667,yes
1.575,yes
2.90833333333333,yes
2.30833333333333,yes
1.5875,yes
1.49583333333333,yes
NaN,no
2.5875,yes
2.56666666666667,yes
NaN,no
2.8,yes
1.39583333333333,yes
NaN,no
1.7,yes
2.1875,yes
1.975,yes
2.07083333333333,yes
NaN,no
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.89583333333333,yes
1.58333333333333,yes
2,yes
NaN,no
1.69583333333333,yes
1.77083333333333,yes
1.625,yes
1.85,yes
2.31666666666667,yes
2,yes
2.50416666666667,yes
1.92083333333333,yes
1.40416666666667,yes
NaN,no
1.95416666666667,yes
2.34583333333333,yes
1.7625,yes
1.825,yes
2.475,yes
2.04166666666667,yes
1.48333333333333,yes
1.6,yes
2.21666666666667,yes
1.5,yes
1.70416666666667,yes
1.4375,yes
1.7375,yes
2.0625,yes
1.77083333333333,yes
1.84166666666667,yes
2.4,yes
1.88333333333333,yes
1.32916666666667,yes
1.3375,yes
NaN,no
1.43333333333333,yes
1.75833333333333,yes
1.87916666666667,yes
2.09583333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.725,yes
2.375,yes
2.98333333333333,yes
1.75,yes
1.84166666666667,yes
1.89166666666667,yes
1.4,yes
1.99166666666667,yes
1.95,yes
1.59166666666667,yes
3.39166666666667,yes
1.74166666666667,yes
2.49166666666667,yes
2.51666666666667,yes
1.6875,yes
1.72083333333333,yes
1.63333333333333,yes
2.12083333333333,yes
1.50833333333333,yes
1.57083333333333,yes
2.17916666666667,yes
2.37916666666667,yes
2.25416666666667,yes
1.90833333333333,yes
1.42916666666667,yes
1.8625,yes
2.0625,yes
1.48333333333333,yes
1.525,yes
1.975,yes
1.95416666666667,yes
1.9375,yes
2.25,yes
1.48333333333333,yes
1.925,yes
2.78333333333333,yes
2.42083333333333,yes
1.7875,yes
1.625,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
