mov_onset,valid_movement
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
0.508333333333333,yes
1.0375,yes
1.4,yes
1.48333333333333,yes
0.85,yes
1.55833333333333,yes
1.3,yes
1.64583333333333,yes
1.00416666666667,yes
1.5625,yes
1.49166666666667,yes
1.4,yes
NaN,no
1.51666666666667,yes
1.67083333333333,yes
NaN,no
NaN,yes
NaN,no
1.70833333333333,yes
NaN,no
0.9375,yes
1.6375,yes
1.5125,yes
1.8875,yes
1.77083333333333,yes
1.20416666666667,yes
1.42916666666667,yes
1.81666666666667,yes
1.32916666666667,yes
1.6125,yes
1.55,yes
1.025,yes
1.75833333333333,yes
1.74583333333333,yes
1.30833333333333,yes
1.72083333333333,yes
3.14583333333333,yes
2.24583333333333,yes
1.32083333333333,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
1.47916666666667,yes
1.65,yes
1.52083333333333,yes
NaN,no
1.43333333333333,yes
1.45,yes
1.9875,yes
1.92916666666667,yes
0.766666666666667,yes
1.77083333333333,yes
1.0625,yes
1.4875,yes
1.14166666666667,yes
1.16666666666667,yes
1.4875,yes
1.3875,yes
1.4875,yes
1.1375,yes
2.1,yes
1.29583333333333,yes
1.225,yes
1.11666666666667,yes
1.24166666666667,yes
1.875,yes
2.10416666666667,yes
1.65416666666667,yes
1.13333333333333,yes
1.3125,yes
0.779166666666667,yes
1.375,yes
1.85833333333333,yes
1.41666666666667,yes
1.29583333333333,yes
1.57916666666667,yes
1.28333333333333,yes
1.14166666666667,yes
1.325,yes
1.14583333333333,yes
1.525,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,yes
NaN,no
0.1375,yes
1.27916666666667,yes
1,yes
NaN,no
2.65416666666667,yes
0.7875,yes
1.71666666666667,yes
1.54583333333333,yes
1.53333333333333,yes
2.025,yes
1.60416666666667,yes
2.1375,yes
1.79583333333333,yes
1.23333333333333,yes
1.42083333333333,yes
1.67916666666667,yes
1.95833333333333,yes
1.18333333333333,yes
1,yes
1.5625,yes
1.4875,yes
1.61666666666667,yes
1.09166666666667,yes
0.495833333333333,yes
1.675,yes
2.09583333333333,yes
1.29583333333333,yes
1.175,yes
1.5,yes
1.02083333333333,yes
1.45833333333333,yes
1.11666666666667,yes
0.879166666666667,yes
0.9375,yes
0.733333333333333,yes
1.725,yes
2.19583333333333,yes
1.7125,yes
